更新日期,#genre#
2025-03-23,https://gitee.com/IIII-9306/PAV/raw/master/Updatetime.mp4
央视频道,#genre#
CCTV1,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8$IPV4•线路1
CCTV1,http://58.243.224.244:9901/tsfile/live/1031_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路2
CCTV1,http://112.46.85.60:8009/hls/501/index.m3u8$IPV4•线路3
CCTV1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?$IPV4•线路4
CCTV1,http://60.223.224.176:8888/newlive/live/hls/2/live.m3u8?$IPV4•线路5
CCTV1,http://175.31.21.146:4480/hls/1/index.m3u8$IPV4•线路6
CCTV1,http://218.93.208.172:35455/migu/608807420.m3u8?migutoken=c1e47192e21ebd32f0cc762a6749923a27468f3c407786209ce921f54a3faab96bf61281f3baee22f2ea266b1ec7e46d7bdfab0916f461bf38474fe38d0bdb2dcc56ee56853b8d6c509d866d80$IPV4•线路7
CCTV1,https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8$IPV4•线路8
CCTV2,http://58.243.224.244:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路1
CCTV2,http://113.140.86.162:8009/hls/502/index.m3u8$IPV4•线路2
CCTV2,http://112.46.85.60:8009/hls/502/index.m3u8$IPV4•线路3
CCTV2,http://60.223.224.176:8888/newlive/live/hls/3/live.m3u8$IPV4•线路4
CCTV2,http://175.31.21.146:4480/hls/2/index.m3u8$IPV4•线路5
CCTV2,http://116.128.243.121:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路6
CCTV2,http://218.93.208.172:35455/migu/631780532.m3u8?migutoken=f37996961dda807c76bd64f9a2747f07f7fd95917e411e96a40281fd628bc4000eb7f71344d3bca848bfba138c3988d53652cdbc6fc8225515f1c0e1ea6c8920e7d1e957628a334e765280cc07$IPV4•线路7
CCTV2,https://api.olelive.com/dis/live/CCTV2HD/hls.m3u8$IPV4•线路8
CCTV3,http://113.140.86.162:8009/hls/3/index.m3u8$IPV4•线路1
CCTV3,http://112.46.85.60:8009/hls/3/index.m3u8$IPV4•线路2
CCTV3,http://1.24.39.180:9003/hls/3/index.m3u8$IPV4•线路3
CCTV3,http://60.223.224.176:8888/newlive/live/hls/4/live.m3u8$IPV4•线路4
CCTV3,http://218.93.208.172:35455/migu/624878271.m3u8?migutoken=fc4d3188808753792a59fb9fb632ad0e1d099d6828db8758f8c977a28dc480e969bef66e8cd942d53ce07a039791c90b959a0f75df560f5966e3f5ed7c8cf5bbb0fac0f4394f21d52636ca79cb$IPV4•线路5
CCTV3,https://api.olelive.com/dis/live/CCTV3HD/hls.m3u8$IPV4•线路6
CCTV3,http://116.77.32.59:8277/streams/d/cctv3/playlist.m3u8$IPV4•线路7
CCTV4,http://58.243.224.244:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0$IPV4•线路1
CCTV4,http://113.140.86.162:8009/hls/4/index.m3u8$IPV4•线路2
CCTV4,http://112.46.85.60:8009/hls/4/index.m3u8$IPV4•线路3
CCTV4,http://1.24.39.180:9003/hls/4/index.m3u8$IPV4•线路4
CCTV4,http://60.223.224.176:8888/newlive/live/hls/5/live.m3u8?#rtsp://180.95.143.19/PLTV/88888910/224/3221225497/10000100000000060000000000107277_0.smil$IPV4•线路5
CCTV4,http://218.93.208.172:35455/migu/631780421.m3u8?migutoken=c7f507bbd9cce24c2acdc93defad48a900f168c4ca906d6038ab0f6139f63ebe0ddaadfce8581b4e0014595c5d9de27f08f2398874e7990b2f98bca8c5e37775005a38dfdd40f4ea9bbfa10d23$IPV4•线路6
CCTV4,https://api.olelive.com/dis/live/CCTV4HD/hls.m3u8$IPV4•线路7
CCTV4,http://3501776.xyz:35455/itv/1000000005000265004.m3u8?cdn=ystenlive$IPV4•线路8
CCTV5,http://113.140.86.162:8009/hls/503/index.m3u8$IPV4•线路1
CCTV5,http://112.46.85.60:8009/hls/503/index.m3u8$IPV4•线路2
CCTV5,http://1.24.39.180:9003/hls/5/index.m3u8$IPV4•线路3
CCTV5,http://60.223.224.176:8888/newlive/live/hls/6/live.m3u8$IPV4•线路4
CCTV5,http://175.31.21.146:4480/hls/5/index.m3u8$IPV4•线路5
CCTV5,http://218.93.208.172:35455/migu/641886683.m3u8?migutoken=87d52e3d24e7d2e911e3dfd7ea18495fc128afee9e8b63e2945bdf50bb2105992d65245e2b914f41bb1b7218c76012d8e20573dfc0ca6ff336e3ba39c0a26c95030a5f99b9264b0583d92caea8$IPV4•线路6
CCTV5,https://api.olelive.com/dis/live/CCTV5HD/hls.m3u8$IPV4•线路7
CCTV5,http://113.140.86.162:8009/hls/503/index.m3u8$IPV4•线路8
CCTV5,http://112.46.85.60:8009/hls/503/index.m3u8$IPV4•线路9
CCTV5,http://1.24.39.180:9003/hls/5/index.m3u8$IPV4•线路10
CCTV5,http://60.223.224.176:8888/newlive/live/hls/6/live.m3u8$IPV4•线路11
CCTV5,http://175.31.21.146:4480/hls/5/index.m3u8$IPV4•线路12
CCTV5,http://218.93.208.172:35455/migu/641886683.m3u8?migutoken=87d52e3d24e7d2e911e3dfd7ea18495fc128afee9e8b63e2945bdf50bb2105992d65245e2b914f41bb1b7218c76012d8e20573dfc0ca6ff336e3ba39c0a26c95030a5f99b9264b0583d92caea8$IPV4•线路13
CCTV5,https://api.olelive.com/dis/live/CCTV5HD/hls.m3u8$IPV4•线路14
CCTV5+,http://60.223.224.176:8888/newlive/live/hls/7/live.m3u8$IPV4•线路1
CCTV5+,https://api.olelive.com/dis/live/CCTV5PHD/hls.m3u8$IPV4•线路2
CCTV5+,http://3501776.xyz:35455/itv/1000000005000265016.m3u8?cdn=ystenlive$IPV4•线路3
CCTV5+,http://116.77.32.59:8277/streams/d/cctv5a/playlist.m3u8$IPV4•线路4
CCTV5+,http://ttkx.cc:1658/公开源454/mg9.php?id=cctv5p$IPV4•线路5
CCTV5+,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=bf4807&tk=822270345d4c$IPV4•线路6
CCTV5+,http://58.221.214.82:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路7
CCTV5+,http://cssbyd.imwork.net:8082/hls/6/index.m3u8$IPV4•线路8
CCTV5+,http://60.223.224.176:8888/newlive/live/hls/7/live.m3u8$IPV4•线路9
CCTV5+,https://api.olelive.com/dis/live/CCTV5PHD/hls.m3u8$IPV4•线路10
CCTV5+,http://3501776.xyz:35455/itv/1000000005000265016.m3u8?cdn=ystenlive$IPV4•线路11
CCTV5+,http://116.77.32.59:8277/streams/d/cctv5a/playlist.m3u8$IPV4•线路12
CCTV5+,http://ttkx.cc:1658/公开源454/mg9.php?id=cctv5p$IPV4•线路13
CCTV5+,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=bf4807&tk=822270345d4c$IPV4•线路14
CCTV5+,http://58.221.214.82:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路15
CCTV5+,http://cssbyd.imwork.net:8082/hls/6/index.m3u8$IPV4•线路16
CCTV6,http://113.140.86.162:8009/hls/6/index.m3u8$IPV4•线路1
CCTV6,http://1.24.39.180:9003/hls/6/index.m3u8$IPV4•线路2
CCTV6,http://60.223.224.176:8888/newlive/live/hls/8/live.m3u8$IPV4•线路3
CCTV6,https://api.olelive.com/dis/live/CCTV6HD/hls.m3u8$IPV4•线路4
CCTV6,http://116.77.32.59:8277/streams/d/cctv6/playlist.m3u8$IPV4•线路5
CCTV6,http://60.29.124.66:6080/hls/17/index.m3u8$IPV4•线路6
CCTV6,http://116.9.204.242:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路7
CCTV6,http://ttkx.cc:1658/公开源454/mg9.php?id=cctv6$IPV4•线路8
